episode,reward,steps
1,6236.183579349998,294
2,6387.369839605002,302
3,7854.65773302,314
4,4054.4477262750006,300
5,2865.6792576450002,260
6,4586.527903800001,375
7,14970.266524660006,407
8,4163.285921260002,259
9,4340.002546999998,296
10,7146.895549540004,318
1,16419.7090478,620
2,4232.716060249999,408
3,22504.671687949987,693
4,7905.746010279994,454
5,-509.9919276999999,344
6,1398.7225225499978,398
7,-1128.0206948000005,101
8,5558.285479760002,416
9,9625.142786765009,575
10,12969.05274981,618
11,-1108.6374498650002,101
12,11666.439036327,583
13,-1136.8678328500005,101
14,26951.793833714983,814
15,-100.12002403000076,354
16,-967.4478201900006,299
17,-423.3711281150005,350
18,15894.422831095007,720
19,35.604554399999756,348
20,7261.099669415003,530
21,1240.3478555550007,324
22,-2214.7571420499994,338
23,775.1155350935514,319
24,11510.347642349996,548
25,778.7058120000005,369
26,6801.86477345,471
27,-1773.0146377499996,345
28,1694.0606289049992,420
29,81.14651485999934,343
30,161.84567195000113,367
31,17403.48225137151,665
32,34599.95283489801,1000
33,-1148.6642970000003,101
34,26830.660989264983,879
35,-2395.1081121999996,339
36,15610.863242210013,710
37,-1757.984765995,293
38,-1133.0979196000003,101
39,-609.9745912500013,419
40,-1264.5552735500005,339
41,-890.8278787850004,332
42,21131.68199445001,792
43,-702.7691026850005,370
44,7668.441470599995,513
45,2137.7233356850015,430
46,12162.740800305,658
47,11162.978721200005,563
48,32979.226135500016,1000
49,8912.451006400006,639
50,24197.033343655985,778
1,-1113.0256259999999,101
2,2212.38719515,254
3,2204.9558215150005,291
4,-1132.2011926000005,101
5,1813.7979522999995,254
6,-1136.1443295000001,101
7,3923.9942396000006,276
8,726.4875551000005,263
9,1496.1090222999997,247
10,294.6624080999994,230
11,2376.53541614,256
12,2771.9846302,253
13,3977.1707464999995,304
14,2730.629691819999,289
15,3857.498766399998,267
16,812.6195283220001,224
17,3436.6321911999985,272
18,2907.975798925001,289
19,3946.1110098849995,283
20,3004.7429145100004,247
21,4326.6358053799995,276
22,4382.693467949999,293
23,2021.2211525599996,241
24,2910.7901131199997,268
25,3384.4627418999994,274
26,3437.2224383999987,258
27,5006.2522828699975,287
28,4496.5438416000015,293
29,2875.0415561499995,268
30,5950.065975700002,307
31,3204.002299500001,255
32,4591.443076189997,297
33,-1133.8476755000004,101
34,5016.893043410002,276
35,4060.568836020001,286
36,4150.821431649998,294
37,4092.5096283,265
38,3750.24665625,264
39,3656.95928452,283
40,2306.219621399999,255
41,6302.717282099999,277
42,4954.884670620001,277
43,3660.2636638999998,258
44,3830.583822099998,274
1,-1005.0609015781802,101
2,-997.2978022119876,101
3,-1014.6941122487124,101
4,-1011.5932805750709,101
5,-1015.2137724096442,101
6,-1011.0737847200228,101
7,-1016.0502954327396,101
8,-987.7808333657813,101
9,-3029.307431995172,712
10,-1013.6283741202627,101
11,-1004.2327661508505,101
12,-1001.0931156030707,101
13,-3707.3629069939498,729
14,-1010.104947232124,101
15,-999.6587936748737,101
16,-987.398538986197,101
17,-992.4937295721928,101
18,-1003.8540753917027,101
19,-1013.1772887136408,101
20,-994.5463512927859,101
21,-1007.6703216368562,101
22,-999.394970889332,101
23,-1021.3570888265094,101
24,-1015.6850615924401,101
25,-2594.2538376616385,706
26,-5552.158205550026,934
27,-997.6961940962617,101
28,2320.8269113031597,861
29,-3354.0815449511706,723
30,3975.369621979453,1000
31,-1128.3518594700888,853
32,-1009.1208258411184,101
33,-1015.2699689787912,101
34,-1009.0745171094335,101
35,-1005.5456335188251,101
36,-1016.3000799734928,101
37,-1012.1788447289744,101
38,-996.861531216842,101
39,-991.0521681660434,101
40,4971.8871421163,1000
41,-1008.0304034690353,101
42,-1009.8463321122631,101
43,-1009.1798050093621,101
